rank,etf_code,etf_name,n_stocks,n_covered,coverage,rev_growth_2026,rev_growth_2027,rev_growth_2028,op_growth_2026,op_growth_2027,op_growth_2028,fwd_per,fwd_pbr,fwd_roe,composite_score
153,0177X0,ACE K휴머노이드로봇산업TOP2+,16,8,73.9,25.32,4.64,4.54,68.64,11.42,7.64,30.5,4.06,-1.69,36.57
154,211900,KODEX 코리아배당성장,51,44,90.9,9.43,5.6,5.11,32.71,6.77,6.61,11.57,0.78,9.59,36.57
155,211560,TIGER 배당성장,51,44,91.1,9.43,5.61,5.11,32.71,6.78,6.6,11.57,0.78,9.58,36.57
156,489030,PLUS 고배당주위클리커버드콜,31,29,96.4,7.64,3.35,3.52,20.03,5.8,6.19,6.32,0.59,9.71,36.54
157,161510,PLUS 고배당주,31,29,97.8,7.63,3.36,3.53,20.01,5.81,6.19,6.32,0.59,9.72,36.54
158,0018C0,PLUS 고배당주위클리고정커버드콜,31,29,93.4,7.64,3.35,3.52,20.02,5.8,6.19,6.32,0.59,9.72,36.54
159,091180,KODEX 자동차,21,16,96.5,6.22,5.09,4.68,11.54,11.32,7.57,9.76,0.67,8.83,36.52
160,279530,KODEX 고배당주,21,19,96.6,9.12,3.75,3.97,16.79,6.02,6.77,6.68,0.62,10.37,36.5
161,0105E0,SOL 코리아고배당,31,27,94.2,8.91,4.17,4.22,14.11,6.63,5.41,5.84,0.61,10.7,36.49
162,104530,KIWOOM 코리아고배당,21,15,74.2,8.47,2.57,2.78,24.76,2.73,6.1,6.68,0.66,10.37,36.47
163,447430,ACE 주주환원가치주액티브,29,15,45.4,8.84,,,11.61,7.74,4.17,5.91,0.7,8.63,36.47
164,0098F0,KODEX 원자력SMR,15,12,95.1,7.5,7.17,8.49,57.06,31.04,22.97,56.07,1.42,8.26,36.47
165,0139P0,ACE 고배당주,21,19,93.6,9.02,3.61,4.0,21.43,3.08,5.93,6.27,0.53,10.4,36.45
166,0098N0,PLUS 자사주매입고배당주,31,27,92.1,6.85,3.92,3.79,11.34,7.17,6.36,7.66,0.6,10.09,36.42
167,469070,RISE AI&로봇,38,10,44.0,25.6,7.14,5.5,62.74,12.64,6.97,34.01,6.33,-2.66,36.4
168,0111J0,HANARO 증권고배당TOP3플러스,11,7,96.4,15.61,,,39.32,-3.11,8.72,9.48,0.46,14.02,36.39
169,157500,TIGER 증권,11,7,95.4,13.01,,,41.98,-3.18,8.63,10.77,0.46,14.18,36.38
170,102970,KODEX 증권,15,7,93.1,12.95,,,41.74,-3.17,8.64,10.57,0.46,14.06,36.38
171,434730,HANARO 원자력iSelect,16,13,97.5,11.42,12.3,12.45,43.31,31.95,23.86,55.53,1.84,16.95,36.35
172,0153K0,KODEX 주주환원고배당주,31,29,97.7,10.27,6.99,5.15,23.91,7.43,5.51,14.93,0.84,9.26,36.33
173,140700,KODEX 보험,13,5,69.8,21.46,,,7.78,6.97,-0.11,6.17,0.45,10.35,36.32
174,0091P0,TIGER 코리아원자력,19,11,89.0,2.45,8.41,10.37,63.47,37.5,29.76,72.63,1.28,1.84,36.31
175,0008T0,SOL 화장품TOP3플러스,11,10,100.0,30.48,11.38,7.49,40.69,17.64,16.51,39.03,12.99,38.54,36.25
176,433500,ACE 원자력TOP10,11,10,99.8,8.46,10.12,11.31,48.23,29.68,22.1,57.12,1.49,13.78,36.24
177,244580,KODEX 바이오,50,26,55.4,65.07,35.36,23.75,57.98,-94.57,360.13,82.4,11.79,3.49,36.12
178,139280,TIGER 경기방어,46,35,95.0,14.47,9.33,7.63,38.65,17.07,11.82,43.65,4.83,15.09,35.96
179,228790,TIGER 화장품,20,15,96.5,23.75,10.08,7.49,36.07,16.59,16.51,48.94,8.27,30.14,35.79
180,395170,KODEX Top10동일가중,10,10,100.0,45.2,15.81,13.58,186.04,21.64,10.47,110.17,2.14,19.06,35.75
