종목코드,종목명,매출액_2023,매출액_2024,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2023,영업이익_2024,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,매출액_성장률_2025,매출액_성장률_2026,매출액_성장률_2027,매출액_성장률_2028,매출액_최대성장률,영업이익_성장률_2025,영업이익_성장률_2026,영업이익_성장률_2027,영업이익_성장률_2028,영업이익_최대성장률,데이터_가용성,가용_연도수,PER,PBR,ROE,평균거래량_20d,OBV_trend,RSI,저항선,지지선,MA_align,MACD_signal,외인_5d,외인_20d,기관_5d,기관_20d,시장,현재가,시가총액,Recent_Volume,거래량배수,업종
4980,성신양회,11133.0,11626.0,12163.0,,,,733.0,532.0,437.0,,,,4.62,,,,4.62,-17.86,,,,-17.86,1년치 존재,1,3.22,0.4,4.49,824863.0,up,55.2,13230.0,8800.0,up,bull,,,,,KOSPI,11430,2802,197792,0.2,건축자재
430,대원강업,11068.0,13676.0,15991.0,,,,592.0,226.0,470.0,,,,16.93,,,,16.93,107.96,,,,107.96,1년치 존재,1,11.01,0.66,6.71,173246.0,down,55.8,4480.0,3775.0,up,bear_cross,,,,,KOSPI,4365,2706,164322,0.9,자동차부품
84680,이월드,1153.0,1085.0,887.0,,,,79.0,-4.0,-32.0,,,,-18.25,,,,-18.25,-700.0,,,,-700.0,1년치 존재,1,,1.04,-8.3,1666854.0,down,60.6,1985.0,1441.0,up,bull,,,,,KOSPI,1924,2728,398056,0.2,"섬유,의류,신발,호화품"
226320,잇츠한불,1354.0,1424.0,1534.0,,,,112.0,179.0,192.0,,,,7.72,,,,7.72,7.26,,,,7.26,1년치 존재,1,79.09,0.58,4.35,64352.0,up,67.0,13160.0,9860.0,mixed,bull,,,,,KOSPI,12370,2713,110213,1.7,화장품
8350,남선알미늄,3105.0,2895.0,2589.0,,,,64.0,48.0,-33.0,,,,-10.57,,,,-10.57,-168.75,,,,-168.75,1년치 존재,1,,1.01,1.25,58459793.0,up,48.8,3080.0,1165.0,mixed,bear,,,,,KOSPI,2105,2717,8223,0.0,비철금속
4560,현대비앤지스틸,10453.0,7954.0,7413.0,,,,-352.0,306.0,259.0,,,,-6.8,,,,-6.8,-15.36,,,,-15.36,1년치 존재,1,,0.45,2.58,205588.0,up,55.2,22250.0,14720.0,mixed,bull,,,,,KOSPI,17200,2594,254169,1.2,비철금속
30210,다올투자증권,15084.0,14426.0,17145.0,,,,-620.0,-749.0,337.0,,,,18.85,,,,18.85,144.99,,,,144.99,1년치 존재,1,,0.39,6.64,109683.0,up,56.7,5370.0,3810.0,mixed,bull,,,,,KOSPI,4415,2689,147350,1.3,증권
13580,계룡건설,29770.0,31271.0,28874.0,,,,1007.0,871.0,1669.0,,,,-7.67,,,,-7.67,91.62,,,,91.62,1년치 존재,1,2.73,0.16,11.1,282155.0,down,55.3,30150.0,21650.0,up,bull,,,,,KOSPI,29000,2590,85295,0.3,건설
1790,대한제당,13323.0,13738.0,13563.0,,,,472.0,370.0,566.0,,,,-1.27,,,,-1.27,52.97,,,,52.97,1년치 존재,1,9.39,0.55,-11.61,311893.0,down,42.2,3165.0,2660.0,mixed,bear,,,,,KOSPI,2910,2610,209014,0.7,식품
7160,사조산업,6322.0,6352.0,7062.0,,,,-239.0,-94.0,332.0,,,,11.18,,,,11.18,453.19,,,,453.19,1년치 존재,1,10.92,0.4,-5.37,4170.0,down,47.8,72200.0,50400.0,down,bull,,,,,KOSPI,53100,2655,3165,0.8,식품
